survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False
0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False
1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True
0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False
0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False
0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False
